frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
79, 0, 0.000, 0.98, 1, 0.07, 0.00, 0.00, 0.00, 0.00, 0.28, 0.00, 0.00, 0.00, 0.00, 0.00, 0.39, 0.00, 0.14, 0.04, 0.14, 0.06, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
80, 0, 0.000, 0.98, 1, 0.06, 0.00, 0.00, 0.00, 0.00, 0.33, 0.00, 0.00, 0.00, 0.00, 0.00, 0.26, 0.00, 0.05, 0.22, 0.27, 0.04, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
81, 0, 0.000, 0.98, 1, 0.06, 0.00, 0.00, 0.00, 0.00, 0.30, 0.00, 0.00, 0.00, 0.00, 0.00, 0.17, 0.05, 0.00, 0.39, 0.33, 0.04, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
82, 0, 0.000, 0.98, 1, 0.01, 0.00, 0.00, 0.00, 0.00, 0.33, 0.00, 0.00, 0.00, 0.00, 0.00, 0.13, 0.15, 0.00, 0.50, 0.25, 0.04, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
83, 0, 0.000, 0.98, 1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.25, 0.00, 0.00, 0.00, 0.00, 0.00, 0.15, 0.22, 0.00, 0.47, 0.16, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
84, 0, 0.000, 0.98, 1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.30, 0.03, 0.00, 0.00, 0.05, 0.00, 0.24, 0.18, 0.00, 0.50, 0.30, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
85, 0, 0.000, 0.98, 1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.38, 0.03, 0.00, 0.00, 0.20, 0.00, 0.33, 0.09, 0.00, 0.71, 0.79, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
86, 0, 0.000, 0.98, 1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.42, 0.03, 0.00, 0.00, 0.32, 0.00, 0.33, 0.03, 0.00, 0.94, 1.23, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
87, 0, 0.000, 0.98, 1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.42, 0.00, 0.00, 0.00, 0.31, 0.00, 0.33, 0.07, 0.00, 0.88, 1.24, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
88, 0, 0.000, 0.98, 1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.38, 0.00, 0.00, 0.00, 0.28, 0.00, 0.32, 0.20, 0.03, 0.70, 0.86, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
89, 0, 0.000, 0.98, 1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.45, 0.00, 0.00, 0.00, 0.28, 0.00, 0.41, 0.33, 0.06, 0.51, 0.46, 0.02, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
90, 0, 0.000, 0.98, 1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.45, 0.06, 0.00, 0.00, 0.28, 0.00, 0.42, 0.38, 0.06, 0.48, 0.20, 0.02, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
91, 0, 0.000, 0.98, 1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.55, 0.07, 0.00, 0.00, 0.16, 0.00, 0.33, 0.25, 0.04, 0.44, 0.08, 0.02, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
92, 0, 0.000, 0.98, 1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.49, 0.06, 0.00, 0.01, 0.06, 0.00, 0.21, 0.11, 0.03, 0.41, 0.04, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
93, 0, 0.000, 0.98, 1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.53, 0.02, 0.00, 0.01, 0.08, 0.00, 0.16, 0.00, 0.07, 0.46, 0.05, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
94, 0, 0.000, 0.98, 1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.51, 0.11, 0.00, 0.01, 0.08, 0.01, 0.23, 0.00, 0.06, 0.45, 0.05, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
95, 0, 0.000, 0.98, 1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.56, 0.19, 0.00, 0.00, 0.05, 0.01, 0.27, 0.00, 0.04, 0.42, 0.03, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
96, 0, 0.000, 0.98, 1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.60, 0.22, 0.00, 0.00, 0.00, 0.01, 0.26, 0.05, 0.00, 0.56, 0.27, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
97, 0, 0.000, 0.98, 1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.56, 0.12, 0.00, 0.07, 0.00, 0.00, 0.25, 0.05, 0.00, 0.73, 0.49, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
98, 0, 0.000, 0.98, 1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.61, 0.04, 0.00, 0.13, 0.01, 0.00, 0.24, 0.13, 0.03, 0.83, 0.50, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
99, 0, 0.000, 0.98, 1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.51, 0.01, 0.00, 0.16, 0.02, 0.00, 0.19, 0.08, 0.03, 0.71, 0.25, 0.01, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
100, 0, 0.000, 0.98, 1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.59, 0.01, 0.00, 0.14, 0.02, 0.00, 0.09, 0.08, 0.03, 0.56, 0.03, 0.01, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
101, 0, 0.000, 0.98, 1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.66, 0.03, 0.00, 0.15, 0.00, 0.00, 0.01, 0.00, 0.00, 0.49, 0.00, 0.01, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
102, 0, 0.000, 0.98, 1, 0.00, 0.02, 0.00, 0.00, 0.00, 0.84, 0.02, 0.00, 0.19, 0.00, 0.00, 0.00, 0.00, 0.00, 0.49, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
103, 0, 0.000, 0.98, 1, 0.00, 0.02, 0.00, 0.00, 0.00, 0.86, 0.02, 0.00, 0.22, 0.00, 0.00, 0.00, 0.00, 0.00, 0.50, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
104, 0, 0.000, 0.98, 1, 0.00, 0.02, 0.00, 0.00, 0.00, 0.79, 0.00, 0.00, 0.20, 0.00, 0.00, 0.00, 0.00, 0.00, 0.53, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
105, 0, 0.000, 0.98, 1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.72, 0.15, 0.00, 0.13, 0.00, 0.11, 0.10, 0.00, 0.00, 0.58, 0.04, 0.09, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
106, 0, 0.000, 0.98, 1, 0.00, 0.00, 0.05, 0.00, 0.07, 0.92, 0.25, 0.00, 0.05, 0.00, 0.15, 0.21, 0.00, 0.00, 0.67, 0.24, 0.38, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
107, 0, 0.000, 0.98, 1, 0.00, 0.00, 0.07, 0.00, 0.10, 0.94, 0.26, 0.00, 0.00, 0.00, 0.15, 0.38, 0.05, 0.00, 0.79, 0.40, 0.75, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
108, 0, 0.000, 0.98, 1, 0.00, 0.00, 0.10, 0.00, 0.15, 1.04, 0.13, 0.00, 0.00, 0.00, 0.08, 0.46, 0.08, 0.00, 0.88, 0.50, 1.10, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
109, 0, 0.000, 0.98, 1, 0.00, 0.00, 0.05, 0.00, 0.12, 0.97, 0.15, 0.00, 0.00, 0.00, 0.14, 0.49, 0.13, 0.00, 0.86, 0.49, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
110, 0, 0.000, 0.98, 1, 0.00, 0.00, 0.03, 0.00, 0.08, 1.10, 0.25, 0.00, 0.00, 0.00, 0.19, 0.46, 0.27, 0.00, 0.72, 0.40, 0.71, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
111, 0, 0.000, 0.98, 1, 0.00, 0.00, 0.00, 0.00, 0.04, 1.04, 0.31, 0.00, 0.00, 0.00, 0.25, 0.39, 0.42, 0.00, 0.59, 0.34, 0.27, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
112, 0, 0.000, 0.98, 1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.84, 0.26, 0.00, 0.00, 0.00, 0.23, 0.39, 0.49, 0.00, 0.53, 0.22, 0.08, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
113, 0, 0.000, 0.98, 1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.79, 0.22, 0.00, 0.00, 0.00, 0.24, 0.35, 0.45, 0.00, 0.55, 0.24, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
114, 0, 0.000, 0.98, 1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.77, 0.14, 0.00, 0.00, 0.05, 0.19, 0.34, 0.32, 0.00, 0.52, 0.23, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
115, 0, 0.000, 0.98, 1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.84, 0.07, 0.00, 0.00, 0.05, 0.19, 0.24, 0.24, 0.00, 0.56, 0.23, 0.01, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
116, 0, 0.000, 0.98, 1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.86, 0.01, 0.00, 0.00, 0.05, 0.18, 0.19, 0.15, 0.00, 0.56, 0.26, 0.01, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
117, 0, 0.000, 0.98, 1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.84, 0.01, 0.00, 0.00, 0.00, 0.28, 0.19, 0.14, 0.00, 0.60, 0.38, 0.02, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
118, 0, 0.000, 0.98, 1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.73, 0.01, 0.00, 0.00, 0.00, 0.42, 0.25, 0.14, 0.00, 0.52, 0.58, 0.07, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
119, 0, 0.000, 0.98, 1, 0.08, 0.00, 0.00, 0.00, 0.06, 0.91, 0.00, 0.00, 0.00, 0.00, 0.43, 0.40, 0.08, 0.07, 0.33, 0.45, 0.52, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
120, 0, 0.000, 0.98, 1, 0.26, 0.02, 0.00, 0.00, 0.06, 0.78, 0.00, 0.00, 0.00, 0.00, 0.43, 0.42, 0.04, 0.07, 0.12, 0.27, 1.13, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
121, 0, 0.000, 0.98, 1, 0.69, 0.23, 0.00, 0.04, 0.06, 0.69, 0.00, 0.00, 0.00, 0.00, 0.58, 0.40, 0.00, 0.07, 0.12, 0.05, 1.96, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
122, 0, 0.000, 0.98, 1, 1.38, 1.16, 0.00, 0.11, 0.00, 0.30, 0.00, 0.00, 0.00, 0.00, 0.77, 0.29, 0.00, 0.00, 0.35, 0.34, 2.60, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
123, 0, 0.000, 0.98, 1, 2.17, 2.23, 0.00, 0.13, 0.00, 0.53, 0.00, 0.00, 0.00, 0.00, 0.77, 0.41, 0.00, 0.00, 0.35, 0.60, 2.99, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00
124, 0, 0.000, 0.98, 1, 2.77, 2.97, 0.00, 0.08, 0.00, 0.45, 0.14, 0.00, 0.09, 0.00, 0.60, 0.54, 0.00, 0.00, 0.23, 0.68, 2.72, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00
125, 0, 0.000, 0.98, 1, 2.82, 2.77, 0.00, 0.06, 0.00, 0.42, 0.23, 0.00, 0.13, 0.02, 0.62, 0.48, 0.00, 0.00, 0.13, 0.61, 2.10, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00
126, 0, 0.000, 0.98, 1, 2.77, 2.29, 0.00, 0.04, 0.00, 0.08, 0.43, 0.00, 0.17, 0.04, 0.76, 0.31, 0.00, 0.00, 0.22, 0.64, 1.46, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00
127, 0, 0.000, 0.98, 1, 2.77, 1.85, 0.00, 0.00, 0.00, 0.00, 0.59, 0.00, 0.13, 0.05, 0.89, 0.18, 0.00, 0.00, 0.27, 0.87, 1.14, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00
